ev_cat,number_of_articles
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),49
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),44
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),50
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match),15
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),36
"oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)&open (via page says Open Access)",51
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),57
oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via crossref license),4
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),149
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),108
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),75
oa repository (via OAI-PMH doi match)&open (via crossref license)&open (via page says Open Access),190
oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via free pdf),44
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),72
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),49
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via free pdf),25
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),157
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),12
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),146
oa journal (via publisher name)&oa repository (via OAI-PMH doi match),17
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),42
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),88
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),11
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license),47
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),27
