publication_year,esac_publisher,total_dois,author_position_pct,author_pct,institutions_pct,countries_pct,is_corresponding_pct,raw_author_name_pct,raw_affiliation_strings_pct,affiliations_pct,walden_author_position_pct,walden_author_pct,walden_institutions_pct,walden_countries_pct,walden_is_corresponding_pct,walden_raw_author_name_pct,walden_raw_affiliation_strings_pct,walden_affiliations_pct
2022,IOS Press,5489,99.45,99.45,91.55,94.04,99.45,99.45,94.44,94.44,99.36,99.36,91.38,91.38,99.36,99.36,93.55,93.55
2023,IOS Press,5705,99.35,99.35,91.18,93.5,99.35,99.35,93.99,93.99,99.18,99.18,91.18,91.18,99.18,99.18,93.46,93.46
2024,IOS Press,5407,99.74,99.74,89.42,91.57,99.74,99.74,91.81,91.81,99.69,99.69,91.03,91.03,99.69,99.69,93.1,93.1
2025,IOS Press,4220,99.64,99.64,94.38,99.55,99.64,99.64,99.76,99.76,99.64,99.64,96.75,96.75,99.64,99.64,99.5,99.5
2018,IWA Publishing,1518,100,100,96.9,98.95,100,100,99.08,99.08,100,100,95.59,95.59,100,100,97.56,97.56
2019,IWA Publishing,1418,100,100,96.33,98.52,100,100,98.94,98.94,100,100,94.5,94.5,100,100,96.33,96.33
2020,IWA Publishing,1832,100,100,97.87,99.18,100,100,99.62,99.62,100,100,96.51,96.51,100,100,97.49,97.49
2021,IWA Publishing,1950,100,100,98.21,99.33,100,100,99.69,99.69,100,100,97.08,97.08,100,100,97.74,97.74
2022,IWA Publishing,1798,99.89,99.89,98.39,99.78,99.89,99.89,99.89,99.89,99.89,99.89,99.05,99.05,99.89,99.89,99.39,99.39
2023,IWA Publishing,1949,99.95,99.95,98.41,99.69,99.95,99.95,100,100,99.95,99.95,98.92,98.92,99.95,99.95,99.74,99.74
2024,IWA Publishing,1931,99.84,99.84,97.82,99.53,99.84,99.84,99.69,99.69,99.79,99.79,98.19,98.19,99.79,99.79,99.69,99.69
2025,IWA Publishing,606,100,100,95.05,97.52,100,100,97.52,97.52,100,100,98.35,98.35,100,100,99.17,99.17
2018,John Benjamins Publishing,1370,98.39,98.39,92.99,93.8,98.39,98.39,96.06,96.06,98.39,98.39,92.99,92.99,98.39,98.39,95.77,95.77
2019,John Benjamins Publishing,1531,98.17,98.17,92.62,93.08,98.17,98.17,95.62,95.62,98.11,98.11,92.49,92.49,98.11,98.11,95.69,95.69
2020,John Benjamins Publishing,1803,98.67,98.67,93.51,94.45,98.67,98.67,96.78,96.78,98.72,98.72,93.84,93.84,98.72,98.72,96.45,96.45
2021,John Benjamins Publishing,1321,98.26,98.26,93.41,93.79,98.26,98.26,95.76,95.76,98.18,98.18,92.81,92.81,98.18,98.18,94.63,94.63
2022,John Benjamins Publishing,1491,98.93,98.93,94.63,95.1,98.93,98.93,97.18,97.18,98.79,98.79,94.77,94.77,98.79,98.79,97.05,97.05
2023,John Benjamins Publishing,1552,98.65,98.65,94.39,94.91,98.65,98.65,96.91,96.91,98.58,98.58,94.39,94.39,98.58,98.58,96.46,96.46
2024,John Benjamins Publishing,1365,99.41,99.41,90.33,90.84,99.41,99.41,93.48,93.48,99.41,99.41,86.45,86.45,99.41,99.41,89.89,89.89
2025,John Benjamins Publishing,995,99.5,99.5,91.36,91.66,99.5,99.5,94.57,94.57,99.5,99.5,89.85,89.85,99.5,99.5,92.86,92.86
2018,Karger,5367,96.31,96.31,96.63,97.34,96.31,96.31,97.58,97.58,95.53,95.53,21.99,21.99,95.53,95.53,21.41,21.41
2019,Karger,5096,96.82,96.82,97.84,99,96.82,96.82,99.1,99.1,96.66,96.66,20.7,20.7,96.66,96.66,19.72,19.72
2020,Karger,5165,96.9,96.9,97.77,98.59,96.9,96.9,98.88,98.88,96.73,96.73,23.23,23.23,96.73,96.73,22.92,22.92
2021,Karger,6162,97.71,97.71,98.17,99.04,97.71,97.71,99.19,99.19,97.52,97.52,25.53,25.53,97.52,97.52,24.91,24.91
