publication_year,esac_publisher,total_dois,with_author,with_institutions,with_countries,with_is_corresponding,with_raw_author_name,with_raw_affiliation_strings,with_affiliations,with_walden_author,with_walden_institutions,with_walden_countries,with_walden_is_corresponding,with_walden_raw_author_name,with_walden_raw_affiliation_strings,with_walden_affiliations
2021,Bristol University Press,440,438,424,437,438,438,438,438,438,427,427,438,438,431,431
2021,Cambridge University Press,25337,24107,22412,22705,24107,24107,23122,23122,24003,21414,21414,24003,24003,21333,21333
2021,Company of Biologists,1651,1632,1562,1566,1632,1632,1573,1573,1585,1568,1568,1585,1585,1612,1612
2021,Elsevier,614483,608777,590378,594925,608777,608777,596584,596584,608576,454946,454946,608576,608576,453185,453185
2021,Emerald,18091,17836,17601,17865,17836,17836,17904,17904,17833,17511,17511,17833,17833,17727,17727
2021,IOP Publishing,22216,22206,18269,18356,22206,22206,18415,18415,22206,13765,13765,22206,22206,12887,12887
2021,IOS Press,6487,6436,5972,6069,6436,6436,6112,6112,6432,5956,5956,6432,6432,6028,6028
2021,IWA Publishing,1950,1950,1915,1937,1950,1950,1944,1944,1950,1893,1893,1950,1950,1906,1906
2021,John Benjamins Publishing,1321,1298,1234,1239,1298,1298,1265,1265,1297,1226,1226,1297,1297,1250,1250
2021,Karger,6162,6021,6049,6103,6021,6021,6112,6112,6009,1573,1573,6009,6009,1535,1535
2021,Oxford University Press,60302,59307,57017,57604,59307,59307,57778,57778,59333,56592,56592,59333,59333,55844,55844
2021,Portland Press,1168,1148,1157,1167,1148,1148,1167,1167,1149,1160,1160,1149,1149,1149,1149
2021,Royal Society of Chemistry,34767,33588,34663,34709,33588,33588,34733,34733,33589,34589,34589,33589,33589,34336,34336
2021,Sage,78108,76933,72738,73943,76933,76933,74544,74544,76971,72624,72624,76971,76971,73517,73517
2021,Springer Nature,346046,344609,340564,344599,344609,344609,345627,345627,344588,336656,336656,344588,344588,330625,330625
