ev_cat,number_of_articles
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license, author manuscript)",1
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),1
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license)&open (via page says license),2
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),2
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says Open Access),3
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),3
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),2
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via free pdf),3
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),1
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),1
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),1
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),1
oa journal (via issn in doaj)&open (via page says license),1
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via page says license),1
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),1
oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),1
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),3
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),2
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),1
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),3
oa journal (via issn in doaj)&oa repository (via OAI-PMH title and first author match),2
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),1
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),2
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),2
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),1
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),1
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),1
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),1
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)&open (via page says license)",1
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),1
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),1
