oal23_type,oal24_type,wos_type,n,noal,n24wos
LETTER,editorial,Editorial Material,1,1,163726
LETTER,letter,Proceedings Paper,1,11243,174
LETTER,review,Article,1,306,316102
LETTER,review,Early Access,1,306,2552
OTHER,article,Biographical-Item,1,20,28126
OTHER,erratum,Early Access,1,63,753
OTHER,retraction,Correction,1,5,1473
PARATEXT,article,Letter,1,640,77847
PARATEXT,editorial,Editorial Material,1,1,163726
PARATEXT,retraction,Retraction,1,1,5741
REFERENCE-ENTRY,editorial,Editorial Material,1,1,163726
REFERENCE-ENTRY,reference-entry,Article,1,1,1
