ev_cat,number_of_articles
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),269
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license),27285
"oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)",11147
oa repository (via OAI-PMH title match)&open (via free pdf),5356
oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says license),28321
open (via crossref license)&open (via free pdf),17866
oa repository (via OAI-PMH title and last author match)&open (via free pdf),2529
oa journal (via publisher name),1199
oa repository (via OAI-PMH title match),11163
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),643
oa journal (via doaj)&oa repository (via OAI-PMH title match),914
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),32360
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),13513
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),423
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),21118
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says license),19554
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),1869
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup),50480
oa repository (via OAI-PMH doi match)&open (via page says Open Access),4277
oa repository (via OAI-PMH doi match)&open (via crossref license),5877
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license),1433
oa journal (via publisher name)&open (via page says license),22165
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says Open Access),8664
oa repository (via OAI-PMH doi match)&open (via crossref license)&open (via page says license),14812
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),12
oa repository (via pmcid lookup),2244
open (via crossref license)&open (via page says Open Access),3191
oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),8942
"open (via crossref license, author manuscript)&open (via free pdf)",1389
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),5913
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),3392
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says Open Access),10478
oa repository (via pmcid lookup)&open (via free pdf),3536
oa repository (via OAI-PMH title and last author match)&open (via page says license),1611
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),12526
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license),2560
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),108
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via page says Open Access),1913
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),573
oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),583
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),4095
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)",2714
"oa repository (via OAI-PMH doi match)&open (via crossref license, author manuscript)",8730
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via page says license),3449
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),1542
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via free pdf),1161
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),1343
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via page says license),1097
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),2030
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says license),3925
oa repository (via pmcid lookup)&open (via page says license),920
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),129
oa repository (via OAI-PMH title match)&open (via crossref license),316
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),292
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via page says Open Access),776
oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via free pdf),1779
oa repository (via pmcid lookup)&open (via crossref license),420
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),1566
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),2563
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says license),848
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),3092
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),1156
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),364
"oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license, author manuscript)",1326
oa repository (via pmcid lookup)&open (via page says Open Access),87
oa journal (via publisher name)&open (via free pdf),1898
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match),870
oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via free pdf),44
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),197
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),428
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),1735
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),516
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&open (via page says license),2310
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),6
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match),1126
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says license),6085
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),26
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says license),172
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),307
oa repository (via OAI-PMH doi match)&open (via crossref license)&open (via free pdf),510
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),1281
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),333
oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says Open Access),1476
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),601
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&open (via page says license),325
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match),192
"oa repository (via OAI-PMH doi match)&open (via crossref license, author manuscript)&open (via free pdf)",63
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),320
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),317
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),63
oa repository (via OAI-PMH title match)&open (via page says license),1557
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),568
oa repository (via OAI-PMH title and last author match)&open (via crossref license),860
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),533
oa journal (via doaj)&oa repository (via pmcid lookup),565
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),49
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),120
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),572
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),161
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),49
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),42
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),118
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),206
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via free pdf),108
oa repository (via OAI-PMH title match)&open (via crossref license)&open (via page says license),158
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),57
oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via free pdf),15
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),406
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),302
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),694
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match),545
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),75
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),50
oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),114
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license)&open (via page says license),56
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),48
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via free pdf),306
oa repository (via OAI-PMH doi match)&open (via crossref license)&open (via page says Open Access),190
oa repository (via OAI-PMH title and first author match)&oa repository (via doi prefix)&open (via page says license),4
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup),37
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",12
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),221
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),119
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),419
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),438
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),100
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),307
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via free pdf),413
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),17
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),11
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),157
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license, author manuscript)",103
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),77
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),87
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),87
oa repository (via doi prefix)&open (via page says license),276
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),144
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license),229
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),392
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),82
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),29
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via free pdf),27
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),2
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),156
oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match),27
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),55
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),38
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),316
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),118
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),79
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),156
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),12
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),54
manual,24
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),226
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),17
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),214
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),47
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),417
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),184
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),13
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),154
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),11
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),57
oa journal (via publisher name)&oa repository (via OAI-PMH title match)&open (via page says license),23
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),40
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license),103
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),35
"oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)&open (via page says license)",122
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),146
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),229
oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),79
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match),77
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),109
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),18
oa repository (via OAI-PMH title match)&open (via page says Open Access),96
"oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)&open (via free pdf)",284
"open (via crossref license, author manuscript)&open (via page says license)",230
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via free pdf),25
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),36
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),3
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),149
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),44
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),13
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),241
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says license),84
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&open (via free pdf),28
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),58
"open (via crossref license, author manuscript)&open (via page says Open Access)",168
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),52
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via page says Open Access),148
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says Open Access),24
"oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",40
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says license),63
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),36
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says Open Access),7
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),25
"oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",107
"oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license, author manuscript)",101
oa repository (via OAI-PMH title match)&open (via crossref license)&open (via page says Open Access),19
"oa repository (via OAI-PMH doi match)&open (via crossref license, author manuscript)&open (via page says license)",21
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",27
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),69
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),5
oa repository (via doi prefix),13
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),5
oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says Open Access),35
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),2
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),72
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match),106
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),38
"oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)&open (via page says Open Access)",51
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),45
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),72
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),24
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),36
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),45
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),43
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license),36
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match),3
oa journal (via publisher name)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),3
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),27
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license),61
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via crossref license, author manuscript)",11
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),37
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),17
"oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license, author manuscript)",15
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says Open Access),7
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via crossref license),41
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),48
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license)&open (via page says license),17
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),17
oa journal (via publisher name)&oa repository (via OAI-PMH title match)&open (via free pdf),6
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),48
